
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.08      0.52      0.15     -0.78      0.79    131.99      1.01
         alpha_1[0]     -1.29      1.65     -1.21     -4.14      0.79    108.29      0.99
         alpha_2[0]     -0.20      0.42     -0.18     -0.84      0.45    118.93      1.00
          beta_1[0]      1.16      0.48      1.06      0.38      1.94    141.20      1.00
          beta_2[0]      2.52      0.81      2.46      1.27      3.82     46.96      0.99
        eta_high[0]     26.31     13.52     27.17      6.95     47.96    218.55      0.99
         eta_low[0]     23.55     16.01     24.52      0.52     45.47     79.34      0.99
         eta_max[0]      4.32      2.80      4.07      0.03      8.51    168.96      1.00
         eta_min[0]     31.21     11.74     32.81     15.38     48.97    283.64      0.99
      gamma_high[0]      6.11      1.28      6.07      4.28      7.99     78.60      1.02
       gamma_low[0]      2.99      0.53      3.01      2.14      3.78    217.59      0.99
           kappa[0]     -0.78      1.30     -0.74     -2.58      1.33    170.63      0.99
         m_break[0]      5.11      2.52      4.63      2.01      9.56     68.27      1.05
           m_max[0]     73.94     16.94     76.60     45.42     98.34     60.98      0.99
           m_min[0]      1.10      0.06      1.10      1.00      1.18    157.74      0.99
       mix_tilt1[0]      0.51      0.33      0.52      0.07      1.00    134.80      1.00
       mix_tilt2[0]      0.56      0.32      0.62      0.07      1.00     80.86      1.00
         mu_chi1[0]      0.44      0.31      0.46      0.00      0.92    104.08      0.99
         mu_chi2[0]      0.18      0.22      0.13      0.00      0.32     14.42      1.07
        mu_peak1[0]      9.03      0.55      9.11      8.04      9.80     99.02      0.99
        mu_peak2[0]     27.81      2.89     28.27     22.37     31.53     51.32      1.01
      mu_peak_NS[0]      1.42      0.30      1.34      1.01      1.92     44.08      1.02
  peak_constant1[0]    307.96    122.24    306.98    133.52    488.91    108.82      1.00
  peak_constant2[0]    241.66    117.70    225.72     64.46    434.38     38.59      0.99
peak_constant_NS[0]    394.24    302.19    310.16      3.70    905.17    175.57      0.99
        sig_chi1[0]      1.06      0.53      1.04      0.39      1.98    223.18      1.01
        sig_chi2[0]      0.48      0.49      0.30      0.14      1.67      9.17      1.09
       sig_peak1[0]      1.54      0.55      1.36      1.02      2.33     69.12      0.99
       sig_peak2[0]      9.76      4.21      9.27      3.65     15.09     25.16      0.99
     sig_peak_NS[0]      0.62      0.21      0.59      0.37      0.99     57.29      0.99
       sig_tilt1[0]      1.84      1.16      1.84      0.10      3.31    199.90      0.99
       sig_tilt2[0]      1.69      1.20      1.49      0.11      3.49     44.55      1.00

Number of divergences: 0
