
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]     -0.06      0.57     -0.12     -0.94      0.72     53.67      0.99
         alpha_1[0]     -1.36      1.77     -1.27     -4.69      0.82     40.50      0.99
         alpha_2[0]     -0.13      0.46     -0.12     -0.85      0.65     46.97      1.00
          beta_1[0]      1.14      0.48      1.10      0.33      1.92    124.49      0.99
          beta_2[0]      1.86      0.76      1.81      0.72      3.06     30.54      0.99
        eta_high[0]     26.46     13.47     26.56      5.90     47.64    107.14      0.99
         eta_low[0]     25.77     13.89     27.41      3.40     45.37    355.38      1.00
         eta_max[0]      4.60      2.56      4.47      0.73      9.00     73.30      1.03
         eta_min[0]     31.21     11.68     31.54     13.25     49.21    263.51      0.99
      gamma_high[0]      6.15      1.08      5.94      4.66      7.94    120.56      0.99
       gamma_low[0]      3.02      0.59      3.03      2.00      3.80    115.11      0.99
           kappa[0]     -0.84      1.32     -0.90     -2.95      1.18    151.16      0.99
         m_break[0]      4.35      2.02      3.71      2.04      7.62     73.18      0.99
           m_max[0]     69.42     16.05     69.85     42.01     94.41     92.77      1.00
           m_min[0]      1.10      0.05      1.10      1.02      1.18    115.79      0.99
        mix_tilt[0]      0.49      0.29      0.52      0.07      0.95    149.21      1.00
          mu_chi[0]      0.46      0.31      0.39      0.09      0.99    263.28      0.99
        mu_peak1[0]      8.89      0.87      9.15      7.61      9.86     20.52      1.02
        mu_peak2[0]     28.19      2.71     28.94     23.86     31.64     39.60      0.99
      mu_peak_NS[0]      1.39      0.27      1.33      1.06      1.78     86.50      0.99
  peak_constant1[0]    317.88    131.80    350.93     91.26    491.77     27.90      1.00
  peak_constant2[0]    196.18    114.18    191.94      7.65    352.68     36.62      0.99
peak_constant_NS[0]    402.18    261.85    388.33      8.84    777.48    140.84      0.99
         sig_chi[0]      0.66      0.22      0.70      0.34      1.00    209.54      1.00
       sig_peak1[0]      2.04      0.90      1.86      1.10      2.97     32.96      1.04
       sig_peak2[0]      8.04      4.14      7.46      1.17     12.97     33.32      1.00
     sig_peak_NS[0]      0.64      0.23      0.64      0.30      1.00     92.76      0.99
        sig_tilt[0]      2.10      1.06      1.95      0.46      3.68     80.55      0.99

Number of divergences: 0
