
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.06      0.57      0.07     -0.80      0.95    443.12      1.00
         alpha_1[0]     -1.49      1.63     -1.41     -4.45      0.45     95.04      1.00
         alpha_2[0]     -0.18      0.47     -0.13     -0.80      0.54    110.72      1.00
          beta_1[0]      1.13      0.47      1.11      0.33      1.85    503.06      1.01
          beta_2[0]      2.44      0.74      2.34      1.38      3.73    199.91      1.00
        eta_high[0]     25.72     14.79     26.46      4.35     48.95    638.00      1.00
         eta_low[0]     25.11     13.43     24.37      6.72     49.26    648.52      1.00
         eta_max[0]      4.23      2.56      3.95      0.41      8.56    211.71      1.01
         eta_min[0]     30.60     11.68     31.35     14.30     49.96   1302.99      1.00
      gamma_high[0]      6.05      1.24      6.02      4.18      7.79    279.71      1.00
       gamma_low[0]      3.00      0.60      3.02      2.10      3.94    527.36      1.00
           kappa[0]     -0.75      1.44     -0.73     -2.75      2.04    439.42      1.00
         m_break[0]      4.83      2.36      4.11      2.03      8.71    207.43      1.01
           m_max[0]     69.15     19.31     70.80     35.23     95.08    109.91      1.02
           m_min[0]      1.10      0.05      1.09      1.00      1.17    317.72      1.00
        mix_tilt[0]      0.55      0.29      0.58      0.09      0.99    374.44      1.00
          mu_chi[0]      0.15      0.14      0.11      0.01      0.31    100.72      1.01
        mu_peak1[0]      8.87      0.84      9.10      7.62     10.06     51.72      1.04
        mu_peak2[0]     28.26      3.88     28.40     21.68     32.60     77.94      1.04
      mu_peak_NS[0]      1.39      0.26      1.37      1.01      1.76    248.25      1.00
  peak_constant1[0]    302.07    122.31    309.36    127.43    498.16    219.65      1.00
  peak_constant2[0]    233.75    114.69    213.39     70.49    441.89    188.75      1.00
peak_constant_NS[0]    402.45    275.11    349.39      2.82    814.81    454.04      1.00
         sig_chi[0]      0.35      0.16      0.31      0.13      0.60     56.37      1.00
       sig_peak1[0]      1.91      2.29      1.55      1.01      2.75    103.87      1.00
       sig_peak2[0]     10.69      6.15      9.38      3.03     16.42     65.04      1.00
     sig_peak_NS[0]      0.62      0.23      0.62      0.27      0.98    215.21      1.00
        sig_tilt[0]      1.39      1.19      1.06      0.10      3.38    277.88      1.00

Number of divergences: 0
