variable,prior,inits,label
mu_chi,"Uniform(0, 0.4)",0.01,"mu_chi"
sig_chi,"Uniform(0.1, 1)",0.2,"sig_chi"
mix_tilt,"Uniform(0, 1)",0.5,"mix_tilt"
sig_tilt,"Uniform(0.1, 4)",1,"sig_tilt"
a_max,0.4,nan,"a_max"
a_min,0,nan,"a_min"
costilt_max,1,nan,"costilt_max"
costilt_min,-1,nan,"costilt_min"
