
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.05      0.63      0.14     -0.84      0.93    174.38      1.00
         alpha_1[0]     -1.25      1.53     -0.97     -3.59      1.51     29.08      1.07
         alpha_2[0]     -0.22      0.45     -0.17     -0.98      0.37     63.39      1.01
          beta_1[0]      1.13      0.44      1.05      0.50      1.88    118.53      0.99
          beta_2[0]      2.22      0.76      2.15      0.74      3.27     75.01      0.99
        eta_high[0]     25.90     14.53     27.22      3.09     47.72    299.59      0.99
         eta_low[0]     23.24     15.80     24.39      0.41     46.53    111.28      0.99
         eta_max[0]      4.25      3.01      3.60      0.51      9.35    142.53      0.99
         eta_min[0]     31.72     11.66     32.55     12.45     46.94    101.84      1.02
      gamma_high[0]      6.25      1.35      6.54      4.34      7.99     82.99      1.01
       gamma_low[0]      2.99      0.58      2.96      2.22      3.95     68.13      0.99
           kappa[0]     -1.02      1.36     -1.08     -2.76      1.29     61.65      0.99
         m_break[0]      5.46      2.44      5.38      2.06      9.01     59.65      1.08
           m_max[0]     74.25     16.93     77.01     48.62     99.34     78.43      0.99
           m_min[0]      1.09      0.06      1.09      1.00      1.17     88.77      0.99
       mix_tilt1[0]      0.49      0.32      0.45      0.07      0.98    155.10      1.00
       mix_tilt2[0]      0.60      0.29      0.66      0.18      1.00    148.44      0.99
         mu_chi1[0]      0.18      0.13      0.15      0.00      0.36    103.15      1.00
         mu_chi2[0]      0.10      0.07      0.09      0.00      0.20     51.08      1.02
        mu_peak1[0]      9.00      0.74      9.16      7.86     10.01     45.12      0.99
        mu_peak2[0]     28.65      2.72     29.15     24.27     32.79     54.95      1.00
      mu_peak_NS[0]      1.41      0.28      1.36      1.01      1.80     30.41      1.03
  peak_constant1[0]    294.03    120.56    294.20    139.68    499.06     45.96      1.03
  peak_constant2[0]    217.88    112.05    206.38     47.28    406.89     71.37      0.99
peak_constant_NS[0]    400.80    288.18    331.34      6.99    820.81     90.19      0.99
        sig_chi1[0]      1.05      0.54      1.09      0.13      1.81     96.77      1.01
        sig_chi2[0]      0.25      0.06      0.25      0.16      0.35     52.92      1.01
       sig_peak1[0]      1.64      0.68      1.41      1.01      2.48     56.15      0.99
       sig_peak2[0]      8.70      3.71      7.82      3.67     14.34     59.37      0.99
     sig_peak_NS[0]      0.64      0.20      0.64      0.39      1.00    119.13      1.01
       sig_tilt1[0]      2.20      1.15      2.10      0.67      3.89    124.17      0.99
       sig_tilt2[0]      1.59      0.77      1.45      0.37      2.76     47.73      0.99

Number of divergences: 0
