
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.16      0.49      0.26     -0.70      0.83     78.38      1.01
         alpha_1[0]     -0.87      1.62     -0.55     -4.22      1.21     35.08      0.99
         alpha_2[0]     -0.26      0.44     -0.26     -1.04      0.37     39.19      0.99
          beta_1[0]      1.13      0.46      1.11      0.47      2.15     62.54      0.99
          beta_2[0]      2.05      0.85      1.93      0.88      3.74     16.92      1.18
        eta_high[0]     24.43     14.17     25.29      1.70     44.20    101.68      0.99
         eta_low[0]     23.06     12.88     22.35      3.91     42.19     61.70      1.09
         eta_max[0]      3.91      2.24      3.54      0.29      7.05     66.93      0.99
         eta_min[0]     29.96     10.99     30.16     13.33     46.93     91.45      0.99
      gamma_high[0]      6.14      1.24      6.34      4.31      7.93     49.91      1.00
       gamma_low[0]      2.90      0.58      2.86      2.01      3.80     97.66      0.99
           kappa[0]     -0.81      1.19     -0.77     -2.42      1.79     63.79      1.00
         m_break[0]      5.32      2.65      4.26      2.34      9.87     27.28      1.00
           m_max[0]     71.59     17.52     71.20     48.09     99.79     86.58      0.99
           m_min[0]      1.10      0.06      1.10      1.02      1.19     73.43      0.99
        mix_tilt[0]      0.54      0.31      0.56      0.11      0.99     58.32      1.00
          mu_chi[0]      0.20      0.11      0.21      0.02      0.36     97.53      1.00
        mu_peak1[0]      9.02      0.67      9.17      7.99     10.09     61.70      1.02
        mu_peak2[0]     29.02      3.06     29.43     23.83     32.31     35.47      1.00
      mu_peak_NS[0]      1.42      0.32      1.36      1.04      1.95     31.48      1.00
  peak_constant1[0]    286.32    136.93    293.15     75.56    497.16     35.74      1.00
  peak_constant2[0]    189.18    110.22    166.22     25.76    383.60     59.55      1.11
peak_constant_NS[0]    412.14    243.74    393.18    109.91    858.88     57.89      0.99
         sig_chi[0]      0.59      0.26      0.60      0.25      0.99     38.40      0.99
       sig_peak1[0]      1.93      0.66      1.76      1.12      2.82     85.10      0.99
       sig_peak2[0]      8.81      4.10      8.28      3.44     13.93     30.01      1.12
     sig_peak_NS[0]      0.61      0.22      0.59      0.28      0.98     55.30      1.00
        sig_tilt[0]      1.91      1.12      1.93      0.41      3.69     42.27      1.07

Number of divergences: 0
