
                   mean       std    median      5.0%     95.0%     n_eff     r_hat
         A[0]      0.64      0.26      0.69      0.22      1.00    968.66      1.00
   alpha_1[0]      2.16      1.55      2.12      0.11      4.98    842.75      1.00
   alpha_2[0]     -1.73      0.24     -1.73     -2.13     -1.35    658.90      1.00
 alpha_chi[0]      1.48      0.38      1.39      1.00      1.98   1042.40      1.00
    beta_1[0]      0.32      1.13      0.16     -1.61      1.99    675.23      1.01
    beta_2[0]      3.09      0.80      3.06      1.75      4.38    809.27      1.00
  beta_chi[0]      3.69      0.77      3.72      2.55      4.94    780.79      1.00
  eta_high[0]     27.93     13.45     28.63      8.62     49.59   1142.68      1.00
   eta_low[0]     25.16     14.26     25.68      4.27     47.34   1326.95      1.00
   eta_max[0]      5.59      1.87      5.37      2.44      8.74    547.85      1.00
   eta_min[0]     29.49     11.49     29.04     10.01     45.90   1100.03      1.00
gamma_high[0]      6.13      1.00      6.17      4.43      7.65   1023.14      1.00
 gamma_low[0]      3.00      0.55      2.96      2.11      3.90   1120.02      1.00
     kappa[0]      1.55      1.33      1.53     -0.48      3.77    941.06      1.00
   m_break[0]      6.96      1.68      7.39      4.16      9.47    511.47      1.01
     m_max[0]     60.23     10.58     58.55     44.30     77.55    548.35      1.00
     m_min[0]      0.85      0.21      0.85      0.52      1.15   1153.11      1.00
  mix_tilt[0]      0.51      0.28      0.51      0.08      0.96   1278.55      1.00
  sig_tilt[0]      1.84      1.21      1.65      0.10      3.63   1107.28      1.00

Number of divergences: 0
