
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.07      0.58      0.10     -0.78      0.99   6603.83      1.00
         alpha_1[0]     -1.30      1.62     -1.10     -4.15      1.13   3698.81      1.00
         alpha_2[0]     -0.15      0.50     -0.14     -0.95      0.69   1700.49      1.00
          beta_1[0]      1.16      0.50      1.12      0.35      1.92   9371.28      1.00
          beta_2[0]      1.85      0.61      1.81      0.84      2.78   6728.88      1.00
        eta_high[0]     24.97     14.37     24.88      3.88     48.52  13217.97      1.00
         eta_low[0]     24.94     14.38     24.97      0.00     44.98  13671.08      1.00
         eta_max[0]      4.64      2.65      4.50      0.00      8.51  10413.93      1.00
         eta_min[0]     30.35     11.42     30.55     14.38     49.79  14474.30      1.00
      gamma_high[0]      6.04      1.17      6.05      4.34      7.93  10404.06      1.00
       gamma_low[0]      3.00      0.57      2.99      2.16      3.94  13927.16      1.00
           kappa[0]     -0.88      1.33     -0.85     -2.97      1.38  11911.60      1.00
         m_break[0]      4.94      2.32      4.38      2.00      8.59   7254.17      1.00
           m_max[0]     68.89     19.07     70.83     35.04     94.04   3618.14      1.00
           m_min[0]      1.10      0.06      1.10      1.00      1.18  15339.72      1.00
        mix_tilt[0]      0.49      0.29      0.48      0.04      0.94  11819.58      1.00
          mu_chi[0]      0.20      0.11      0.20      0.00      0.36  14728.03      1.00
        mu_peak1[0]      8.95      0.77      9.13      7.77     10.06   2304.23      1.00
        mu_peak2[0]     28.93      4.96     28.93     21.30     32.83   1929.52      1.00
      mu_peak_NS[0]      1.40      0.29      1.35      1.01      1.82   7514.35      1.00
  peak_constant1[0]    304.20    127.31    317.35    119.59    499.93   5426.39      1.00
  peak_constant2[0]    204.91    115.87    181.55     34.34    403.06   4542.34      1.00
peak_constant_NS[0]    402.24    285.58    354.47      0.02    837.17  10504.27      1.00
         sig_chi[0]      0.60      0.24      0.61      0.27      1.00  12898.19      1.00
       sig_peak1[0]      2.21      3.01      1.76      1.00      2.97    352.84      1.00
       sig_peak2[0]     10.51      7.28      8.42      1.01     18.44   1555.57      1.00
     sig_peak_NS[0]      0.62      0.21      0.62      0.32      1.00   6121.59      1.00
        sig_tilt[0]      2.19      1.06      2.19      0.72      3.99  12128.07      1.00

Number of divergences: 0
