
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.01      0.60     -0.00     -0.82      1.00    399.46      1.00
         alpha_1[0]     -1.94      1.51     -1.82     -4.68      0.13    220.95      1.01
         alpha_2[0]     -0.20      0.46     -0.22     -0.92      0.59    207.75      1.01
          beta_1[0]      1.16      0.54      1.10      0.32      1.92    262.58      1.00
          beta_2[0]      2.50      0.76      2.42      1.22      3.61    384.30      1.00
        eta_high[0]     25.32     13.63     26.08      4.93     47.96   1251.27      1.00
         eta_low[0]     23.18     15.06     21.52      1.09     46.22    497.34      1.00
         eta_max[0]      4.34      2.72      4.06      0.04      8.55    292.48      1.00
         eta_min[0]     29.78     11.33     30.03     10.63     46.26    716.12      1.00
      gamma_high[0]      6.11      1.22      6.20      4.41      7.99    426.28      1.00
       gamma_low[0]      3.02      0.58      3.03      2.14      3.91    509.07      1.00
           kappa[0]     -0.87      1.24     -0.87     -2.97      1.10    397.84      1.00
         m_break[0]      4.88      2.24      4.33      2.01      8.39    383.60      1.00
           m_max[0]     69.40     18.36     70.76     42.18     99.90    187.39      1.00
           m_min[0]      1.10      0.06      1.09      1.02      1.19    618.34      1.00
        mu_peak1[0]      9.13      0.55      9.20      8.47      9.91    287.36      1.00
        mu_peak2[0]     28.17      3.55     28.37     22.02     32.36    313.92      1.00
      mu_peak_NS[0]      1.40      0.28      1.35      1.01      1.81    287.78      1.01
  peak_constant1[0]    297.75    127.19    306.49    113.74    499.16    454.42      1.00
  peak_constant2[0]    248.27    124.52    231.28     94.98    499.73    320.49      1.00
peak_constant_NS[0]    425.56    289.78    398.13      3.86    855.49    370.11      1.00
       sig_peak1[0]      1.59      0.58      1.45      1.00      2.26    375.42      1.00
       sig_peak2[0]     11.06      5.90      9.99      4.45     18.04    109.84      1.00
     sig_peak_NS[0]      0.61      0.21      0.60      0.34      1.00    275.86      1.01

Number of divergences: 0
