
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      1.00      0.00      1.00      1.00      1.00    947.00      1.00
         alpha_1[0]     -4.82      0.17     -4.88     -5.00     -4.60    392.49      1.01
         alpha_2[0]     -1.29      0.49     -1.31     -2.05     -0.45    202.95      1.01
          beta_1[0]     -4.28      0.63     -4.45     -5.00     -3.43    289.08      1.01
          beta_2[0]      2.36      0.74      2.30      1.17      3.59    306.47      1.00
        eta_high[0]     34.14      9.08     34.35     21.50     49.64    691.06      1.00
         eta_low[0]     39.43      7.42     40.60     28.70     50.00    343.37      1.00
         eta_max[0]      3.89      2.98      3.31      0.00      8.48    386.34      1.00
         eta_min[0]     30.87     11.06     31.12     14.56     49.02    748.86      1.00
      gamma_high[0]      7.57      0.42      7.72      6.98      8.00    331.17      1.00
       gamma_low[0]      2.00      0.01      2.00      2.00      2.01    441.97      1.00
           kappa[0]     -0.66      1.31     -0.66     -2.85      1.50    562.95      1.00
         m_break[0]      8.71      0.98      8.94      7.31     10.00    459.81      1.00
           m_max[0]     75.42     17.56     78.65     47.01     99.99    438.58      1.00
           m_min[0]      1.06      0.05      1.05      1.00      1.13    540.06      1.00
       mix_tilt1[0]      0.99      0.03      1.00      0.97      1.00    490.53      1.00
       mix_tilt2[0]      0.48      0.28      0.47      0.02      0.89    415.76      1.00
         mu_chi1[0]      0.74      0.02      0.74      0.71      0.78     91.38      1.00
         mu_chi2[0]     -0.11      0.30     -0.16     -0.50      0.23     96.72      1.02
        mu_peak1[0]      9.10      0.72      9.26      7.92     10.19    171.57      1.00
        mu_peak2[0]     31.82      2.19     31.46     28.83     34.93    215.82      1.00
      mu_peak_NS[0]      1.62      0.37      1.60      1.01      2.15    392.36      1.00
  peak_constant1[0]     46.22     47.19     31.47      2.50     99.86    193.54      1.00
  peak_constant2[0]     76.55     52.13     63.20     15.74    143.57    256.00      1.00
peak_constant_NS[0]    853.27    128.56    888.90    667.69    999.93    539.92      1.00
        sig_chi1[0]      0.03      0.00      0.03      0.03      0.03    129.43      1.00
        sig_chi2[0]      0.45      0.36      0.40      0.12      0.58     60.88      1.00
       sig_peak1[0]      1.49      0.71      1.33      1.00      2.12    342.46      1.00
       sig_peak2[0]      5.73      2.56      5.39      1.93      9.32    206.27      1.00
     sig_peak_NS[0]      2.71      1.35      2.75      0.79      4.98    643.28      1.00
       sig_tilt1[0]      0.11      0.02      0.11      0.10      0.13    822.33      1.00
       sig_tilt2[0]      2.06      1.14      2.04      0.48      3.99    295.55      1.00

Number of divergences: 9118
