
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.07      0.57      0.07     -0.86      0.89    125.40      1.00
         alpha_1[0]     -1.66      1.61     -1.50     -4.37      0.52    138.09      1.00
         alpha_2[0]     -0.15      0.39     -0.16     -0.78      0.47    219.63      1.00
          beta_1[0]      1.17      0.49      1.15      0.31      1.80    183.29      1.00
          beta_2[0]      2.48      0.84      2.37      1.26      3.87    101.72      1.00
        eta_high[0]     24.55     14.69     23.85      0.00     45.90     96.74      1.00
         eta_low[0]     25.28     12.52     25.01      4.77     44.95    213.10      1.00
         eta_max[0]      4.40      2.58      3.95      0.36      8.47    193.60      1.00
         eta_min[0]     30.54     11.68     32.08     10.49     46.42    236.40      0.99
      gamma_high[0]      6.03      1.15      6.06      4.33      7.88    205.73      1.00
       gamma_low[0]      2.99      0.61      3.03      2.07      3.86    559.49      1.00
           kappa[0]     -0.78      1.21     -0.85     -2.49      1.39    177.27      1.00
         m_break[0]      4.63      2.12      4.18      2.01      7.81    173.83      1.00
           m_max[0]     68.46     19.75     70.81     35.01     93.13    156.78      1.00
           m_min[0]      1.10      0.06      1.11      1.02      1.20    238.29      1.00
        mix_tilt[0]      0.59      0.27      0.64      0.14      1.00    173.40      1.00
          mu_chi[0]      0.15      0.12      0.12      0.00      0.32     80.35      1.04
        mu_peak1[0]      8.94      0.66      9.12      7.91      9.93     62.21      0.99
        mu_peak2[0]     28.38      3.97     28.50     21.12     31.93    142.50      1.01
      mu_peak_NS[0]      1.41      0.27      1.37      1.04      1.81     92.11      1.01
  peak_constant1[0]    307.41    117.46    335.59    123.70    481.34    152.04      1.00
  peak_constant2[0]    231.97    110.74    217.32     37.76    399.97    133.72      1.00
peak_constant_NS[0]    425.81    280.31    396.41     15.48    853.77    279.81      0.99
         sig_chi[0]      0.36      0.16      0.32      0.12      0.58    116.37      1.04
       sig_peak1[0]      1.71      0.66      1.52      1.02      2.51     62.52      1.00
       sig_peak2[0]     10.84      6.26      9.63      3.46     16.65     42.67      1.03
     sig_peak_NS[0]      0.62      0.22      0.61      0.32      0.99    122.51      1.01
        sig_tilt[0]      1.25      1.16      0.66      0.10      3.10    117.71      1.01

Number of divergences: 0
