event,waveform,cosmology,distance_conversion,prior_cosmology,prior_a_1 (or chi1),prior_a_2 (or chi2),prior_tilt_1,prior_tilt_2,prior_chirp_mass
IGWN-GWTC3p0-v2-GW200115_042309_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomNSBH:HighSpin,b'Planck15_lal',d_l^2,NOT INCLUDED (dl^2),NOT INCLUDED,NOT INCLUDED,NOT INCLUDED,NOT INCLUDED,"b""UniformInComponentsChirpMass(minimum=2.0495724198500365, maximum=3.131580989697509, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW190425_081805_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomPv2_NRTidal:HighSpin,b'Planck15_lal',d_l^2,NOT INCLUDED (dl^2),NOT INCLUDED,NOT INCLUDED,NOT INCLUDED,NOT INCLUDED,NOT INCLUDED
IGWN-GWTC4p0-v0-GW230529_181500_PEDataRelease_mixed_cosmo.h5,PROD2,b'Planck15',uniform in source frame,"b""bilby.gw.prior.UniformSourceFrame(minimum=1.0, maximum=500.0, cosmology='Planck15', name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_1', latex_label='$\\\\theta_1$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_2', latex_label='$\\\\theta_2$', unit=None, boundary=None)""","b""bilby.gw.prior.UniformInComponentsChirpMass(minimum=2.0214333426453837, maximum=2.033088646054829, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW190814_211039_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,NOT INCLUDED (dl^2),NOT INCLUDED,NOT INCLUDED,NOT INCLUDED,NOT INCLUDED,NOT INCLUDED
GW170817_GWTC-1.hdf5,IMRPhenomPv2NRT_highSpin_posterior,planck 2015,d_l^2,NOT INCLUDED (dl^2),chi < 0.89 (Uniform),chi < 0.89 (Uniform),NOT INCLUDED (Isotropic),NOT INCLUDED (Isotropic),NOT INCLUDED
IGWN-GWTC2p1-v2-GW190917_114630_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,NOT INCLUDED (dl^2),NOT INCLUDED,NOT INCLUDED,NOT INCLUDED,NOT INCLUDED,NOT INCLUDED
IGWN-GWTC3p0-v2-GW200105_162426_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomNSBH,b'Planck15_lal',d_l^2,NOT INCLUDED (dl^2),NOT INCLUDED,NOT INCLUDED,NOT INCLUDED,NOT INCLUDED,"b""UniformInComponentsChirpMass(minimum=3.5, maximum=3.7, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
