
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.03      0.58      0.05     -0.84      0.95   8793.64      1.00
         alpha_1[0]     -1.43      1.58     -1.25     -4.41      0.68   4459.43      1.00
         alpha_2[0]     -0.17      0.46     -0.17     -0.91      0.57   3980.74      1.00
          beta_1[0]      1.13      0.49      1.08      0.34      1.93   8081.43      1.00
          beta_2[0]      2.34      0.80      2.26      1.02      3.58   2862.40      1.00
        eta_high[0]     25.10     14.37     25.03      3.05     47.60  13617.49      1.00
         eta_low[0]     24.90     14.49     24.95      0.94     45.87  13281.38      1.00
         eta_max[0]      4.53      2.68      4.36      0.01      8.43  10522.38      1.00
         eta_min[0]     30.59     11.42     30.98     13.83     49.32  14523.80      1.00
      gamma_high[0]      6.02      1.17      6.02      4.41      8.00  10487.74      1.00
       gamma_low[0]      3.01      0.57      3.01      2.01      3.80  13596.75      1.00
           kappa[0]     -0.44      1.32     -0.43     -2.66      1.67  12049.44      1.00
         m_break[0]      4.85      2.31      4.24      2.00      8.52   7156.27      1.00
           m_max[0]     69.92     18.86     72.18     41.06     99.85   4755.72      1.00
           m_min[0]      1.10      0.06      1.10      1.00      1.18  13028.21      1.00
       mix_tilt1[0]      0.52      0.29      0.52      0.10      0.99  13342.33      1.00
       mix_tilt2[0]      0.59      0.26      0.61      0.22      1.00  11088.99      1.00
         mu_chi1[0]      0.18      0.12      0.17      0.00      0.35  10833.88      1.00
         mu_chi2[0]      0.09      0.07      0.08      0.00      0.19   8945.42      1.00
        mu_peak1[0]      9.05      0.59      9.16      8.25      9.91   3606.04      1.00
        mu_peak2[0]     28.52      4.24     28.75     21.75     32.88   4203.87      1.00
      mu_peak_NS[0]      1.41      0.29      1.35      1.01      1.84   7643.79      1.00
  peak_constant1[0]    314.21    122.39    330.40    136.01    499.92   6932.12      1.00
  peak_constant2[0]    229.66    111.40    215.05     46.44    413.64   6012.60      1.00
peak_constant_NS[0]    382.49    280.67    325.95      0.14    810.90   9125.99      1.00
        sig_chi1[0]      0.98      0.58      0.98      0.05      1.79  10201.61      1.00
        sig_chi2[0]      0.25      0.06      0.25      0.15      0.35   8636.98      1.00
       sig_peak1[0]      1.63      0.99      1.45      1.00      2.33   1980.74      1.00
       sig_peak2[0]     10.39      6.34      8.77      3.41     17.02   1915.60      1.00
     sig_peak_NS[0]      0.64      0.21      0.65      0.37      1.00   7703.19      1.00
       sig_tilt1[0]      1.91      1.14      1.84      0.10      3.54  12291.74      1.00
       sig_tilt2[0]      1.48      0.93      1.19      0.11      3.03   4554.53      1.00

Number of divergences: 0
