event,waveform,cosmology,distance_conversion,prior_cosmology,prior_a_1 (or chi1),prior_a_2 (or chi2),prior_tilt_1,prior_tilt_2,prior_chirp_mass
IGWN-GWTC2p1-v2-GW190924_021846_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,NOT INCLUDED (dl^2),NOT INCLUDED,NOT INCLUDED,NOT INCLUDED,NOT INCLUDED,NOT INCLUDED
IGWN-GWTC3p0-v1-GW200225_060421_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_1', latex_label='$\\\\theta_1$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_2', latex_label='$\\\\theta_2$', unit=None, boundary=None)""","b""UniformInComponentsChirpMass(minimum=12.202603440756729, maximum=23.337900557388274, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=20.36472548152109, maximum=40.2283678835286, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=10, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_1', latex_label='$\\\\theta_1$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_2', latex_label='$\\\\theta_2$', unit=None, boundary=None)""","b""UniformInComponentsChirpMass(minimum=11.331236548800117, maximum=30.55016955177058, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC3p0-v1-GW191129_134029_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_1', latex_label='$\\\\theta_1$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_2', latex_label='$\\\\theta_2$', unit=None, boundary=None)""","b""UniformInComponentsChirpMass(minimum=6.688783206706785, maximum=10.410877892268534, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=20.9219071736256, maximum=46.49394820454115, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW190814_211039_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,NOT INCLUDED (dl^2),NOT INCLUDED,NOT INCLUDED,NOT INCLUDED,NOT INCLUDED,NOT INCLUDED
IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,NOT INCLUDED (dl^2),NOT INCLUDED,NOT INCLUDED,NOT INCLUDED,NOT INCLUDED,NOT INCLUDED
IGWN-GWTC3p0-v1-GW191204_171526_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_1', latex_label='$\\\\theta_1$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_2', latex_label='$\\\\theta_2$', unit=None, boundary=None)""","b""UniformInComponentsChirpMass(minimum=9.5, maximum=9.9, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=10, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_1', latex_label='$\\\\theta_1$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_2', latex_label='$\\\\theta_2$', unit=None, boundary=None)""","b""UniformInComponentsChirpMass(minimum=16.905416035946438, maximum=48.7009890854925, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW190719_215514_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=10, maximum=20000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=15, maximum=150, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_1', latex_label='$\\\\theta_1$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_2', latex_label='$\\\\theta_2$', unit=None, boundary=None)""","b""UniformInComponentsChirpMass(minimum=15.909499184542135, maximum=36.22456101001631, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=19.261625770194975, maximum=42.847349120548664, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=10, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=22.498737037473333, maximum=48.51180695324808, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=10, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=14.863083163414828, maximum=32.67019432935788, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC3p0-v1-GW200316_215756_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_1', latex_label='$\\\\theta_1$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_2', latex_label='$\\\\theta_2$', unit=None, boundary=None)""","b""UniformInComponentsChirpMass(minimum=7.8885367345513835, maximum=13.962428305860232, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW190602_175927_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=31.248810581856844, maximum=120.69883911546616, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=10, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=27.55398668225002, maximum=95.28816894743487, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC3p0-v1-GW200112_155838_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=21.275516633130586, maximum=49.397749135513735, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC3p0-v1-GW200208_130117_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=22.99617281811461, maximum=53.997506948935175, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=21.95560149933532, maximum=73.8394719747901, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=10.196300761953774, maximum=19.098711358422864, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC3p0-v1-GW200115_042309_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomNSBH:HighSpin,b'Planck15_lal',d_l^2,NOT INCLUDED (dl^2),NOT INCLUDED,NOT INCLUDED,NOT INCLUDED,NOT INCLUDED,"b""UniformInComponentsChirpMass(minimum=2.0495724198500365, maximum=3.131580989697509, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW190930_133541_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=10, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=7.130190854619269, maximum=12.52226917750624, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC3p0-v1-GW200202_154313_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_1', latex_label='$\\\\theta_1$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_2', latex_label='$\\\\theta_2$', unit=None, boundary=None)""","b""UniformInComponentsChirpMass(minimum=6.41333519932373, maximum=9.997476415577319, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,NOT INCLUDED (dl^2),NOT INCLUDED,NOT INCLUDED,NOT INCLUDED,NOT INCLUDED,NOT INCLUDED
IGWN-GWTC2p1-v2-GW190805_211137_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=20000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=29.89014279422964, maximum=100.04897902203908, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,NOT INCLUDED (dl^2),NOT INCLUDED,NOT INCLUDED,NOT INCLUDED,NOT INCLUDED,NOT INCLUDED
IGWN-GWTC3p0-v1-GW200224_222234_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_1', latex_label='$\\\\theta_1$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_2', latex_label='$\\\\theta_2$', unit=None, boundary=None)""","b""UniformInComponentsChirpMass(minimum=22.852486906183355, maximum=57.65416902042432, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
GW170817_GWTC-1.hdf5,IMRPhenomPv2NRT_highSpin_posterior,planck 2015,d_l^2,NOT INCLUDED (dl^2),chi < 0.89 (Uniform),chi < 0.89 (Uniform),NOT INCLUDED (Isotropic),NOT INCLUDED (Isotropic),NOT INCLUDED
IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=10, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_1', latex_label='$\\\\theta_1$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_2', latex_label='$\\\\theta_2$', unit=None, boundary=None)""","b""UniformInComponentsChirpMass(minimum=21.418182160215295, maximum=41.97447913941358, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=20.86334391421937, maximum=55.87431108202617, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_1', latex_label='$\\\\theta_1$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_2', latex_label='$\\\\theta_2$', unit=None, boundary=None)""","b""UniformInComponentsChirpMass(minimum=20.59718030104851, maximum=62.67016379629611, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=24.844280204328523, maximum=85.38763058254465, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC3p0-v1-GW191127_050227_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=15000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=13.600129603611206, maximum=113.63061045223438, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
