
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.05      0.54      0.10     -0.77      0.88    132.76      1.00
         alpha_1[0]     -0.27      1.84     -0.03     -4.44      1.63     33.67      1.02
         alpha_2[0]      0.02      0.54      0.05     -0.92      0.98     35.08      1.01
          beta_1[0]      1.24      0.54      1.16      0.52      2.20    107.71      1.00
          beta_2[0]      2.24      0.76      2.21      1.02      3.35     70.82      1.03
        eta_high[0]     26.21     14.66     26.86      6.01     49.82    231.49      1.00
         eta_low[0]     25.14     15.24     25.45      5.12     49.82    185.41      1.00
         eta_max[0]      4.69      2.58      4.66      0.05      8.38    134.30      1.00
         eta_min[0]     30.56      9.86     30.22     17.18     48.57    244.42      1.00
      gamma_high[0]      6.08      1.21      6.09      4.42      7.99    183.29      1.00
       gamma_low[0]      3.01      0.58      3.03      2.20      4.00    241.26      1.01
           kappa[0]      4.42      0.51      4.55      3.74      5.00    170.79      1.00
         m_break[0]      5.44      2.57      5.17      2.00      9.13     96.70      1.00
           m_max[0]     71.31     18.32     71.60     45.00     99.64     40.99      1.00
           m_min[0]      1.10      0.06      1.10      1.00      1.18    270.21      1.00
       mix_tilt1[0]      0.49      0.30      0.45      0.02      0.90    192.01      1.00
       mix_tilt2[0]      0.61      0.26      0.63      0.23      1.00    187.91      1.00
         mu_chi1[0]      0.19      0.11      0.18      0.04      0.39    130.64      0.99
         mu_chi2[0]      0.10      0.06      0.09      0.00      0.19    153.72      1.00
        mu_peak1[0]      9.12      0.72      9.29      8.40      9.99     43.20      1.00
        mu_peak2[0]     28.83      2.31     28.97     24.69     32.46     57.41      1.00
      mu_peak_NS[0]      1.39      0.26      1.35      1.02      1.78     64.05      1.01
  peak_constant1[0]    317.81    126.42    340.87    127.57    497.15     46.61      1.07
  peak_constant2[0]    234.37    109.16    221.19     62.72    407.24     59.76      1.00
peak_constant_NS[0]    404.67    296.44    371.57      4.28    859.44    127.17      1.00
        sig_chi1[0]      1.02      0.57      1.04      0.06      1.80    414.02      1.00
        sig_chi2[0]      0.23      0.06      0.23      0.14      0.33    187.07      1.00
       sig_peak1[0]      1.75      0.84      1.54      1.00      2.60     50.74      0.99
       sig_peak2[0]      7.70      2.71      7.27      4.10     11.88     76.10      1.01
     sig_peak_NS[0]      0.66      0.22      0.66      0.33      1.00    190.65      1.01
       sig_tilt1[0]      1.94      1.16      1.72      0.49      4.00    224.49      1.00
       sig_tilt2[0]      1.56      0.91      1.26      0.44      3.15     53.39      1.03

Number of divergences: 0
