
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]      0.98      0.08      1.00      0.94      1.00     24.93      1.05
         alpha_1[0]     -4.76      0.22     -4.82     -4.99     -4.43    140.97      0.99
         alpha_2[0]     -0.85      0.51     -0.85     -1.75     -0.11     38.02      0.99
          beta_1[0]     -2.72      1.94     -3.35     -5.00      0.27      5.89      1.20
          beta_2[0]      2.07      0.57      2.02      1.11      2.88     54.46      1.03
        eta_high[0]     31.51     11.67     32.30     14.18     49.90     36.18      1.07
         eta_low[0]     35.54     10.23     36.86     19.50     49.52     57.45      0.99
         eta_max[0]      3.91      3.09      3.08      0.17      8.87     97.91      1.00
         eta_min[0]     28.42     11.43     26.61     13.77     47.79    118.72      0.99
      gamma_high[0]      7.17      0.87      7.56      5.78      8.00     31.39      1.09
       gamma_low[0]      2.09      0.14      2.04      2.00      2.26     44.65      0.99
           kappa[0]     -0.64      1.11     -0.50     -2.77      0.95     81.72      0.99
         m_break[0]      8.35      1.20      8.56      6.89      9.98     43.22      1.02
           m_max[0]     78.14     15.89     82.20     52.62     99.95    108.93      1.00
           m_min[0]      1.07      0.05      1.07      1.00      1.16     28.10      1.04
       mix_tilt1[0]      0.90      0.23      0.99      0.65      1.00     13.15      1.08
       mix_tilt2[0]      0.48      0.28      0.44      0.11      0.97     80.32      1.00
         mu_chi1[0]      0.81      0.08      0.80      0.68      0.93      7.98      1.11
         mu_chi2[0]      0.14      0.09      0.13      0.01      0.27     26.71      1.05
        mu_peak1[0]      9.20      0.65      9.35      8.15     10.09     53.62      0.99
        mu_peak2[0]     30.58      1.84     30.68     27.65     33.46     51.06      0.99
      mu_peak_NS[0]      1.35      0.12      1.37      1.19      1.53     25.94      1.14
  peak_constant1[0]    117.05     98.41     89.34     10.74    252.54     49.52      0.99
  peak_constant2[0]    123.67     74.11    108.48     31.27    238.88     69.08      0.99
peak_constant_NS[0]    825.32    141.59    858.73    639.88    996.74     80.33      0.99
        sig_chi1[0]      0.06      0.01      0.06      0.05      0.07     96.59      1.03
        sig_chi2[0]      0.27      0.08      0.27      0.16      0.40     42.46      1.01
       sig_peak1[0]      1.36      0.37      1.24      1.00      1.97     77.06      1.00
       sig_peak2[0]      6.09      2.33      6.32      2.47      8.91    101.84      0.99
     sig_peak_NS[0]      0.16      0.04      0.15      0.10      0.22     38.80      1.14
       sig_tilt1[0]      0.39      0.82      0.12      0.10      0.67     13.79      1.10
       sig_tilt2[0]      2.00      1.10      1.85      0.44      3.83    101.29      0.99

Number of divergences: 0
