
                         mean       std    median      5.0%     95.0%     n_eff     r_hat
               A[0]     -0.00      0.55     -0.04     -0.92      0.74    218.80      1.00
         alpha_1[0]     -1.58      1.41     -1.58     -4.31      0.21    103.37      1.00
         alpha_2[0]     -0.09      0.39     -0.08     -0.79      0.49    194.80      1.00
          beta_1[0]      1.10      0.51      1.07      0.37      1.95    340.02      1.00
          beta_2[0]      2.46      0.79      2.43      1.23      3.47     63.69      1.00
        eta_high[0]     25.01     14.66     25.06      4.94     49.26    500.71      1.00
         eta_low[0]     25.61     11.40     26.41      5.06     43.17    473.09      1.00
         eta_max[0]      4.18      2.52      3.76      0.10      8.01    258.67      1.00
         eta_min[0]     30.28     12.60     30.14     12.99     49.81    515.37      1.00
      gamma_high[0]      5.96      1.16      5.89      4.35      7.93    268.45      1.00
       gamma_low[0]      3.01      0.53      3.06      2.18      3.87    366.29      1.00
           kappa[0]     -0.85      1.47     -0.77     -3.46      1.21    240.31      1.00
         m_break[0]      4.98      2.33      4.29      2.04      8.80    167.03      1.00
           m_max[0]     70.69     18.97     74.29     39.70     97.07    113.60      1.03
           m_min[0]      1.10      0.05      1.10      1.02      1.19    132.80      1.00
        mix_tilt[0]      0.61      0.27      0.67      0.13      0.99    198.96      1.00
          mu_chi[0]      0.16      0.13      0.13      0.00      0.33    155.18      1.00
        mu_peak1[0]      9.01      0.59      9.10      8.24      9.89    132.27      1.00
        mu_peak2[0]     27.51      3.13     27.86     21.68     31.84    170.06      1.01
      mu_peak_NS[0]      1.38      0.25      1.33      1.03      1.74    190.15      1.00
  peak_constant1[0]    319.35    114.41    329.77    154.84    498.96    212.54      1.00
  peak_constant2[0]    237.60    112.60    220.10     73.02    445.81    257.39      1.00
peak_constant_NS[0]    407.90    248.24    374.65     20.42    768.19    262.92      1.00
         sig_chi[0]      0.37      0.16      0.33      0.16      0.60     83.90      1.01
       sig_peak1[0]      1.65      0.59      1.53      1.00      2.20    169.84      1.00
       sig_peak2[0]      9.93      4.23      8.96      4.06     14.67     65.41      1.00
     sig_peak_NS[0]      0.61      0.22      0.60      0.31      1.00    155.27      1.00
        sig_tilt[0]      1.21      1.08      0.80      0.11      2.88     94.11      1.00

Number of divergences: 0
